"","score","method","forest"
"rpart434",20.49989129605,"rpart","DECISION TREE"
"rpart435",20.1827720000411,"rpart","DECISION TREE"
"rpart436",18.3006692373807,"rpart","DECISION TREE"
"rpart437",20.2921263671933,"rpart","DECISION TREE"
"rpart438",22.6823591783366,"rpart","DECISION TREE"
"rpart439",20.2601330424848,"rpart","DECISION TREE"
"rpart440",22.123504787064,"rpart","DECISION TREE"
"rpart441",20.9981369636552,"rpart","DECISION TREE"
"rpart442",21.813945908527,"rpart","DECISION TREE"
"rpart443",20.239593610383,"rpart","DECISION TREE"
"rpart444",21.3525753228524,"rpart","DECISION TREE"
"rpart445",19.8486493258824,"rpart","DECISION TREE"
"rpart446",21.8149958814513,"rpart","DECISION TREE"
"rpart447",20.6304646574465,"rpart","DECISION TREE"
"rpart448",19.8049119858726,"rpart","DECISION TREE"
"rpart449",20.8568271293596,"rpart","DECISION TREE"
"rpart450",22.0803631512732,"rpart","DECISION TREE"
"rpart451",18.7429260356442,"rpart","DECISION TREE"
"rpart452",21.4620788885891,"rpart","DECISION TREE"
"rpart453",21.3562831449398,"rpart","DECISION TREE"
"rpart454",23.1583043358233,"rpart","DECISION TREE"
"rpart455",20.7305537362902,"rpart","DECISION TREE"
"rpart456",21.777098861135,"rpart","DECISION TREE"
"rpart457",18.9688316465082,"rpart","DECISION TREE"
"rpart458",21.0873342138802,"rpart","DECISION TREE"
"rpart459",21.9623504618189,"rpart","DECISION TREE"
"rpart460",21.9137065433681,"rpart","DECISION TREE"
"rpart461",20.4911010547831,"rpart","DECISION TREE"
"rpart462",20.8046325594256,"rpart","DECISION TREE"
"rpart463",19.5670996552785,"rpart","DECISION TREE"
"rpart464",18.658450316264,"rpart","DECISION TREE"
"rpart465",24.3556044147444,"rpart","DECISION TREE"
"rpart466",19.2486314209014,"rpart","DECISION TREE"
"rpart467",21.0082501720183,"rpart","DECISION TREE"
"rpart468",22.4764647384119,"rpart","DECISION TREE"
"rpart469",19.8204723436997,"rpart","DECISION TREE"
"rpart470",23.9565716906129,"rpart","DECISION TREE"
"rpart471",22.6860666949875,"rpart","DECISION TREE"
"rpart472",21.0181383614686,"rpart","DECISION TREE"
"rpart473",20.6354094548349,"rpart","DECISION TREE"
"rpart474",21.3208977545042,"rpart","DECISION TREE"
"rpart475",22.4117345063894,"rpart","DECISION TREE"
"rpart476",21.769893508668,"rpart","DECISION TREE"
"rpart477",21.6840946690576,"rpart","DECISION TREE"
"rpart478",19.5852889592587,"rpart","DECISION TREE"
"rpart479",23.5383151961656,"rpart","DECISION TREE"
"rpart480",18.9441478360514,"rpart","DECISION TREE"
"rpart481",21.3326406866433,"rpart","DECISION TREE"
"rpart482",21.7585895676004,"rpart","DECISION TREE"
"rpart483",20.8753474338925,"rpart","DECISION TREE"
"rpart484",17.4281382301679,"rpart","DECISION TREE"
"rpart485",18.9822101874426,"rpart","DECISION TREE"
"rpart486",18.7882146471366,"rpart","DECISION TREE"
"rpart487",21.2709973736186,"rpart","DECISION TREE"
"rpart488",20.8399572689988,"rpart","DECISION TREE"
"rpart489",16.544124940418,"rpart","DECISION TREE"
"rpart490",20.8083706245444,"rpart","DECISION TREE"
"rpart491",19.5835815165066,"rpart","DECISION TREE"
"rpart492",19.0169345196623,"rpart","DECISION TREE"
"rpart493",19.7718384771368,"rpart","DECISION TREE"
"rpart494",19.9791239873287,"rpart","DECISION TREE"
"rpart495",20.527184285127,"rpart","DECISION TREE"
"rpart496",20.4699526013558,"rpart","DECISION TREE"
"rpart497",20.7123746407389,"rpart","DECISION TREE"
"rpart498",20.6531671922699,"rpart","DECISION TREE"
"rpart499",19.984466262914,"rpart","DECISION TREE"
